DATE,TWEETS,POS_EXPERT,POS
2019-03-18,49,1.939,2.367
2019-03-19,,,
2019-03-20,,,
2019-03-21,,,
2019-03-22,,,
2019-03-23,,,
2019-03-24,,,
2019-03-25,,,
2019-03-26,50,1.840,2.160
2019-03-27,159,1.881,2.258
2019-03-28,139,2.237,2.259
2019-03-29,132,1.727,2.205
2019-03-30,48,2.042,2.250
2019-03-31,22,1.591,2.091
2019-04-01,27,1.593,2.333
2019-04-02,50,1.840,2.160
2019-04-03,39,1.821,2.308
2019-04-04,59,1.525,2.305
2019-04-05,100,1.570,2.370
2019-04-06,45,1.667,2.311
2019-04-07,21,1.667,2.311
2019-04-08,32,1.500,2.406
2019-04-09,61,2.016,2.066
2019-04-10,68,2.074,2.309
2019-04-11,84,1.929,2.369
2019-04-12,133,1.602,2.195
2019-04-13,92,1.457,2.174
2019-04-14,24,1.542,2.458
2019-04-15,34,1.706,2.294
2019-04-16,48,2.042,2.250
2019-04-17,30,1.333,2.333
2019-04-18,29,1.207,2.345
2019-04-19,36,1.639,2.250
2019-04-20,21,1.667,2.311
2019-04-21,18,1.278,2.333
2019-04-22,26,1.269,2.269
2019-04-23,36,1.639,2.250
2019-04-24,57,1.333,2.333
2019-04-25,63,1.524,2.159
2019-04-26,44,1.409,2.205
2019-04-27,36,1.639,2.250
2019-04-28,40,1.900,2.125
2019-04-29,42,1.976,2.167
2019-04-30,19,2.053,2.368
2019-05-01,16,1.688,2.313
2019-05-02,28,1.714,2.357
2019-05-03,45,1.667,2.311
2019-05-04,25,1.880,2.360
2019-05-05,32,1.500,2.406
2019-05-06,45,1.667,2.311
2019-05-07,69,1.406,2.362
2019-05-08,136,1.904,2.382
2019-05-09,100,1.570,2.370
2019-05-10,59,1.525,2.305
2019-05-11,28,1.714,2.357
2019-05-12,28,1.714,2.357
2019-05-13,49,1.939,2.367
2019-05-14,56,2.089,2.304
2019-05-15,54,2.130,2.352
2019-05-16,37,1.973,2.189
2019-05-17,51,2.078,2.333
2019-05-18,34,1.706,2.294
2019-05-19,27,1.593,2.333
2019-05-20,68,2.074,2.309
2019-05-21,90,1.433,2.311
2019-05-22,98,1.418,2.347
2019-05-23,86,1.326,2.209
2019-05-24,64,1.703,2.313
2019-05-25,37,1.973,2.189
2019-05-26,24,1.542,2.458
2019-05-27,52,1.942,2.250
2019-05-28,73,1.699,2.274
2019-05-29,87,1.701,2.287
2019-05-30,87,1.701,2.287
2019-05-31,123,1.496,2.366
2019-06-01,44,1.409,2.205
2019-06-02,44,1.409,2.205
2019-06-03,38,1.737,2.289
2019-06-04,34,1.706,2.294
2019-06-05,60,1.683,2.383
2019-06-06,92,1.457,2.174
2019-06-07,122,1.992,2.328
2019-06-08,77,2.195,2.299
2019-06-09,38,1.737,2.289
2019-06-10,69,1.406,2.362
2019-06-11,72,2.403,2.250
2019-06-12,84,1.929,2.369
2019-06-13,69,1.406,2.362
2019-06-14,69,1.406,2.362
2019-06-15,54,2.130,2.352
2019-06-16,65,2.862,2.431
2019-06-17,105,2.352,2.276
2019-06-18,108,2.343,2.324
2019-06-19,359,2.217,2.262
2019-06-20,82,2.415,2.305
2019-06-21,101,2.297,2.257
2019-06-22,179,1.894,2.201
2019-06-23,89,1.910,2.191
2019-06-24,42,1.976,2.167
2019-06-25,64,1.703,2.313
2019-06-26,58,2.172,2.328
2019-06-27,77,2.195,2.299
2019-06-28,121,2.000,2.412
2019-06-29,33,1.788,2.333
2019-06-30,31,1.742,2.226
2019-07-01,49,1.939,2.367
2019-07-02,69,1.406,2.362
2019-07-03,,,
2019-07-04,,,
2019-07-05,,,
2019-07-06,,,
2019-07-07,,,
2019-07-08,50,1.840,2.160
2019-07-09,139,2.237,2.259
2019-07-10,122,1.992,2.328
2019-07-11,82,2.415,2.305
2019-07-12,74,2.527,2.257
2019-07-13,84,1.929,2.369
2019-07-14,74,2.527,2.257
2019-07-15,63,1.524,2.159
2019-07-16,95,2.358,2.232
2019-07-17,162,2.074,2.179
2019-07-18,164,2.427,2.396
2019-07-19,179,1.894,2.201
2019-07-20,91,2.110,2.231
2019-07-21,40,1.900,2.125
2019-07-22,75,2.000,2.412
2019-07-23,92,1.457,2.174
2019-07-24,119,2.252,2.303
2019-07-25,91,2.110,2.231
2019-07-26,111,2.910,2.360
2019-07-27,48,2.042,2.250
2019-07-28,35,2.114,2.229
2019-07-29,40,1.900,2.125
2019-07-30,76,2.211,2.197
2019-07-31,65,2.862,2.431
2019-08-01,83,2.157,2.277
2019-08-02,93,2.172,2.333
2019-08-03,40,1.900,2.125
2019-08-04,48,2.042,2.250
2019-08-05,60,1.683,2.383
2019-08-06,67,2.284,2.269
2019-08-07,53,1.906,2.245
2019-08-08,98,1.418,2.347
2019-08-09,168,2.220,2.333
2019-08-10,109,2.202,2.275
2019-08-11,45,1.667,2.311
2019-08-12,60,1.683,2.383
2019-08-13,85,2.565,2.188
2019-08-14,104,2.548,2.308
2019-08-15,115,2.322,2.217
2019-08-16,71,2.113,2.197
2019-08-17,50,1.840,2.160
2019-08-18,27,1.593,2.333
2019-08-19,32,1.500,2.406
2019-08-20,101,2.297,2.257
2019-08-21,99,2.505,2.283
2019-08-22,65,2.862,2.431
2019-08-23,86,1.326,2.209
2019-08-24,41,2.341,2.122
2019-08-25,68,2.074,2.309
2019-08-26,81,2.481,2.309
2019-08-27,76,2.211,2.197
2019-08-28,79,2.203,2.278
2019-08-29,58,2.172,2.328
2019-08-30,42,1.976,2.167
2019-08-31,38,1.737,2.289
2019-09-01,24,1.542,2.458
2019-09-02,27,1.593,2.333
2019-09-03,56,2.089,2.304
2019-09-04,58,2.172,2.328
2019-09-05,81,2.481,2.309
2019-09-06,79,2.203,2.278
2019-09-07,39,1.821,2.308
2019-09-08,32,1.500,2.406
2019-09-09,66,2.409,2.303
2019-09-10,125,2.240,2.264
2019-09-11,81,2.481,2.309
2019-09-12,64,1.703,2.313
2019-09-13,45,1.667,2.311
2019-09-14,52,1.942,2.250
2019-09-15,31,1.742,2.226
2019-09-16,87,1.701,2.287
2019-09-17,73,1.699,2.274
2019-09-18,75,2.000,2.412
2019-09-19,67,2.284,2.269
2019-09-20,51,2.078,2.333
2019-09-21,34,1.706,2.294
2019-09-22,29,1.207,2.345
2019-09-23,45,1.667,2.311
2019-09-24,75,2.000,2.412
2019-09-25,119,2.252,2.303
2019-09-26,158,2.051,2.241
2019-09-27,104,2.548,2.308
2019-09-28,68,2.074,2.309
2019-09-29,57,1.333,2.333
2019-09-30,73,1.699,2.274
2019-10-01,89,1.910,2.191
2019-10-02,79,2.203,2.278
2019-10-03,76,2.211,2.197
2019-10-04,124,2.153,2.315
2019-10-05,45,1.667,2.311
2019-10-06,46,1.978,2.304
2019-10-07,58,2.172,2.328
2019-10-08,72,2.403,2.250
2019-10-09,46,1.978,2.304
2019-10-10,89,1.910,2.191
2019-10-11,79,2.203,2.278
2019-10-12,48,2.042,2.250
2019-10-13,84,1.929,2.369
2019-10-14,78,2.115,2.256
2019-10-15,75,2.000,2.412
2019-10-16,74,2.527,2.257
2019-10-17,144,1.868,2.271
2019-10-18,110,1.818,2.291
2019-10-19,70,1.900,2.125
2019-10-20,98,1.418,2.347
2019-10-21,147,1.735,2.429
2019-10-22,77,2.195,2.299
2019-10-23,126,2.183,2.286
2019-10-24,94,1.947,2.213
2019-10-25,126,2.183,2.286
2019-10-26,66,2.409,2.303
2019-10-27,90,1.433,2.311
2019-10-28,73,1.699,2.274
2019-10-29,64,1.703,2.313
2019-10-30,59,1.525,2.305
2019-10-31,66,2.409,2.303
2019-11-01,104,2.548,2.308
2019-11-02,88,1.659,2.273
2019-11-03,44,1.409,2.205
2019-11-04,32,1.500,2.406
2019-11-05,43,1.953,2.326
2019-11-06,62,1.790,2.290
2019-11-07,54,2.130,2.352
2019-11-08,69,1.406,2.362
2019-11-09,49,1.939,2.367
2019-11-10,39,1.821,2.308
2019-11-11,41,2.341,2.122
2019-11-12,58,2.172,2.328
2019-11-13,44,1.409,2.205
2019-11-14,53,1.906,2.245
2019-11-15,79,2.203,2.278
2019-11-16,83,2.157,2.277
2019-11-17,34,1.706,2.294
2019-11-18,91,2.110,2.231
2019-11-19,159,1.881,2.258
2019-11-20,83,2.157,2.277
2019-11-21,198,1.803,2.283
2019-11-22,377,1.761,2.292
2019-11-23,366,1.770,2.235
2019-11-24,118,1.771,2.288
2019-11-25,128,1.789,2.203
2019-11-26,144,1.868,2.271
2019-11-27,133,1.602,2.195
2019-11-28,106,1.774,2.274
2019-11-29,110,1.818,2.291
2019-11-30,72,2.403,2.250
2019-12-01,42,1.976,2.167
2019-12-02,58,2.172,2.328
2019-12-03,62,1.790,2.290
2019-12-04,81,2.481,2.309
2019-12-05,46,1.978,2.304
2019-12-06,99,2.505,2.283
2019-12-07,82,2.415,2.305
2019-12-08,34,1.706,2.294
2019-12-09,58,2.172,2.328
2019-12-10,100,1.570,2.370
2019-12-11,88,1.659,2.273
2019-12-12,65,2.862,2.431
2019-12-13,66,2.409,2.303
2019-12-14,20,1.500,2.406
2019-12-15,20,1.500,2.406
2019-12-16,60,1.683,2.383
2019-12-17,54,2.130,2.352
2019-12-18,65,2.862,2.431
2019-12-19,108,2.343,2.324
2019-12-20,55,1.709,2.291
2019-12-21,36,1.639,2.250
2019-12-22,36,1.639,2.250
2019-12-23,112,1.589,2.277
2019-12-24,45,1.667,2.311
2019-12-25,,,
2019-12-26,31,1.742,2.226
2019-12-27,44,1.409,2.205
2019-12-28,29,1.207,2.345
2019-12-29,30,1.333,2.333
2019-12-30,42,1.976,2.167
2019-12-31,49,1.939,2.367
2020-01-01,28,1.714,2.357
2020-01-02,56,2.089,2.304
2020-01-03,90,1.433,2.311
2020-01-04,74,2.527,2.257
2020-01-05,31,1.742,2.226
2020-01-06,23,1.609,2.435
2020-01-07,37,1.973,2.189
2020-01-08,85,2.565,2.188
2020-01-09,96,1.802,2.313
2020-01-10,79,2.203,2.278
2020-01-11,84,1.929,2.369
2020-01-12,64,1.703,2.313
2020-01-13,105,2.352,2.276
2020-01-14,75,2.000,2.412
2020-01-15,192,1.589,2.292
2020-01-16,183,1.464,2.290
2020-01-17,141,1.830,2.255
2020-01-18,73,1.699,2.274
2020-01-19,53,1.906,2.245
2020-01-20,80,1.550,2.175
2020-01-21,172,1.593,2.308
2020-01-22,114,1.632,2.263
2020-01-23,98,1.418,2.347
2020-01-24,76,2.211,2.197
2020-01-25,77,2.195,2.299
2020-01-26,35,2.114,2.229
2020-01-27,55,1.709,2.291
2020-01-28,109,2.202,2.275
2020-01-29,62,1.790,2.290
2020-01-30,162,2.074,2.179
2020-01-31,117,1.863,2.291
2020-02-01,127,1.701,2.283
2020-02-02,83,2.157,2.277
2020-02-03,72,2.403,2.250
2020-02-04,157,1.994,2.363
2020-02-05,75,2.000,2.412
2020-02-06,92,1.457,2.174
2020-02-07,129,2.116,2.364
2020-02-08,56,2.089,2.304
2020-02-09,48,2.042,2.250
2020-02-10,146,2.473,2.288
2020-02-11,66,2.409,2.303
2020-02-12,102,2.265,2.324
2020-02-13,90,1.433,2.311
2020-02-14,88,1.659,2.273
2020-02-15,114,1.632,2.263
2020-02-16,97,2.031,2.402
2020-02-17,89,1.910,2.191
2020-02-18,49,1.939,2.367
2020-02-19,64,1.703,2.313
2020-02-20,13,2.846,2.385
2020-02-21,,,
2020-02-22,,,
2020-02-23,,,
2020-02-24,63,1.524,2.159
2020-02-25,22,1.591,2.091
2020-02-26,92,1.457,2.174
2020-02-27,71,2.113,2.197
2020-02-28,38,1.737,2.289
2020-02-29,,,
2020-03-01,,,
2020-03-02,49,1.939,2.367
2020-03-03,78,2.115,2.256
2020-03-04,142,2.275,2.338
2020-03-05,208,2.495,2.284
2020-03-06,128,1.789,2.203
2020-03-07,78,2.115,2.256
2020-03-08,55,1.709,2.291
2020-03-09,36,1.639,2.250
2020-03-10,38,1.737,2.289
2020-03-11,14,2.143,2.536
2020-03-12,,,
2020-03-13,32,1.500,2.406
2020-03-14,,,
2020-03-15,,,
2020-03-16,24,1.542,2.458
2020-03-17,14,2.143,2.536
2020-03-18,22,1.591,2.091
2020-03-19,10,2.200,2.311
2020-03-20,,,
2020-03-21,28,1.714,2.357
2020-03-22,38,1.737,2.289
2020-03-23,12,2.750,2.500
2020-03-24,18,1.278,2.333
2020-03-25,24,1.542,2.458
2020-03-26,12,2.750,2.500
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,24,1.542,2.458
2020-03-31,22,1.591,2.091
2020-04-01,,,
2020-04-02,59,1.525,2.305
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,32,1.500,2.406
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,21,1.667,2.311
2020-04-15,,,
2020-04-16,35,2.114,2.229